id_son,hhid,id_daughter,hgc,byear_dad,byear_mom,age_firstSurvey,useDad,survey,CASEID,byear,share_married,women,surv79,dad_age_inc1,mom_age_inc1,dad_age_inc,mom_age_inc,mom_age_at_birth,dad_age_at_birth,mom_outOfRange,dad_outOfRange,linkDad,linkMom,linkBoth,parent1,zero_parent1,ms_parent1,parent2,zero_parent2,ms_parent2,parent3,zero_parent3,ms_parent3,nparent,miss0,faminc0,lfaminc0,loginc66,loginc79,kid_age_parentInc,kid1,kid2,kid3,zero_kid1,ms_kid1,zero_kid2,ms_kid2,zero_kid3,ms_kid3,nkid,miss1,miss1_early,miss1_prime,faminc1,lfaminc1,faminc1_early,lfaminc1_early,faminc1_prime,lfaminc1_prime,up0,owninc,lown,miss1_own,miss_spouse,spouse_inc,spouse_age,weight,weight_incFirst,weight_incLast,weight_incAvg,all_parent,all_kid,married,n
,4167,,7,,,16,,1979,4167,1963,0,1,1,,43,,44,28,,0,1,0,1,0,,0,1,,0,1,,0,1,0,1,,,,,,4819.094,2891.597,1456.437,0,0,0,0,0,0,3,0,0,0,3055.709,8.024767,14947.32,9.612288,3055.709,8.024767,0,300,5.703783,0,0,,,4940,6452,6275,,0,1,0,1
,10496,,,,,18,,1979,10497,1961,,1,1,46,41,46.5,41.5,24,29,0,0,1,1,1,,0,1,55507.7,0,0,,0,1,1,0,55507.7,10.92428,0,10.92428,18,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,507,,,,0,0,,1
,5340,,16,,,17,,1979,5341,1962,100,1,1,42,40,42.66667,41,24,26,0,1,0,1,0,108976.6,0,0,,0,1,,0,1,1,0,108976.6,11.59889,0,11.59889,16,153943.3,90805.15,87446.88,0,0,0,0,0,0,3,0,0,0,110731.8,11.61487,111533.9,11.62208,110731.8,11.61487,1,42000,10.64542,0,0,56584.1,42,4283,5491,6210,,0,1,100,1
,1444,,13,,,18,,1979,1444,1961,0,1,1,41,37,39.33333,38,20,24,0,1,0,1,0,43590.63,0,0,32651.59,0,0,48904.69,0,0,3,0,41715.64,10.63863,0,10.63863,18,121816,133953.7,,0,0,0,0,0,1,2,0,0,0,127884.8,11.75889,79262.83,11.28052,127884.8,11.75889,1,97500,11.48761,0,0,,,1124,1468,1363,,1,0,0,1
,10340,,12,,,17,,1979,10340,1962,0,1,1,,,,39.5,24,,0,1,0,1,0,32910.93,0,0,22787.54,0,0,,0,1,2,0,27849.23,10.23456,0,10.23456,16.5,,32200.41,32769.82,0,1,0,0,0,0,2,0,0,0,32485.12,10.38854,23933.18,10.08302,32485.12,10.38854,1,26000,10.16585,0,0,,,888,1082,1076,,0,0,0,1
,5422,,12,,,22,,1979,5422,1957,100,1,1,50,44,51,45,23,29,0,0,1,1,1,,0,1,,0,1,,0,1,0,1,,,,,,76302.32,48944.62,44421.32,0,0,0,0,0,0,3,0,0,0,56556.09,10.94299,40785.45,10.61608,56556.09,10.94299,0,34866.67,10.45929,0,0,36143.2,45,5037,6258,6404,,0,1,100,1
,3188,,12,,,19,,1979,3188,1960,,1,1,,,,52,33,,1,1,0,0,0,,0,1,38404.79,0,0,,0,1,1,0,38404.79,10.55594,0,10.55594,19,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,1453,,,,0,0,,1
,2882,,12,,,19,,1979,2883,1960,100,1,1,48,48,49,49,30,30,0,0,1,1,1,,0,1,,0,1,,0,1,0,1,,,,,,93704.6,128801.6,99040.12,0,0,0,0,0,0,3,0,0,0,107182.1,11.58228,123130.5,11.721,107182.1,11.58228,0,9500,9.159047,0,0,89915.41,44.33333,5129,6211,6313,,0,1,100,1
,2103,,13,,,22,,1979,2103,1957,100,1,1,,,49,47,24,26,0,1,0,1,0,,0,1,,0,1,94932.63,0,0,1,0,94932.63,11.46092,0,11.46092,23,107157.9,95859.33,91027.29,0,0,0,0,0,0,3,0,0,0,98014.84,11.49287,102925.9,11.54177,98014.84,11.49287,1,26192.33,10.17322,0,0,64234.51,44.66667,6083,7556,7733,,0,1,100,1
,9686,,12,,,16,1,1979,9686,1963,0,1,1,34,38,35,39,23,19,0,1,0,1,0,29060.42,0,0,13060.63,0,0,17979.67,0,0,3,0,20033.57,9.905165,0,9.905165,16,722.8641,5847.594,12136.97,0,0,0,0,0,0,3,0,0,0,6235.81,8.738064,16171.73,9.69102,6235.81,8.738064,0,4666.667,8.4482,0,0,,,1142,1443,1381,,1,1,0,1
